coordinates
x,y,z
4.21041e-12
4.33824e-12
4.54419e-12
4.46513e-12
4.39668e-12
4.48678e-12
4.49548e-12
4.37548e-12
4.60792e-12
4.40372e-12
4.52592e-12
4.47602e-12
4.45532e-12
4.34062e-12
4.48192e-12
4.66801e-12
4.45211e-12
4.78527e-12
4.46026e-12
4.60589e-12
4.41472e-12
4.4306e-12
4.66038e-12
4.83337e-12
4.70785e-12
4.49105e-12
4.32953e-12
4.42688e-12
4.48552e-12
4.26352e-12
4.48771e-12
4.45022e-12
4.66624e-12
4.53636e-12
4.63422e-12
4.29075e-12
4.66526e-12
4.23148e-12
4.64769e-12
4.33702e-12
4.72043e-12
4.64148e-12
4.3319e-12
4.63008e-12
3.96547e-12
4.40151e-12
4.2428e-12
4.64925e-12
4.56086e-12
4.63952e-12
4.61249e-12
4.75223e-12
4.55687e-12
4.3994e-12
4.83142e-12
4.41148e-12
4.5364e-12
4.76478e-12
4.39175e-12
4.37496e-12
4.38105e-12
4.40174e-12
4.38371e-12
4.68039e-12
4.20167e-12
4.32579e-12
4.54416e-12
4.44306e-12
4.4118e-12
4.28494e-12
4.55049e-12
4.22211e-12
4.73249e-12
4.08426e-12
4.2017e-12
4.41695e-12
4.46244e-12
4.57871e-12
4.53108e-12
4.88428e-12
4.33104e-12
4.31418e-12
4.55407e-12
4.50269e-12
4.46819e-12
4.41829e-12
4.59341e-12
4.93013e-12
4.23113e-12
4.4369e-12
4.2538e-12
4.45134e-12
4.9775e-12
4.55408e-12
4.75075e-12
4.57074e-12
4.30445e-12
4.44143e-12
4.40204e-12
4.28571e-12
4.07504e-12
4.35631e-12
4.56829e-12
4.24319e-12
4.19779e-12
4.28388e-12
4.15746e-12
4.2094e-12
4.68578e-12
4.59795e-12
4.60014e-12
4.68984e-12
4.53184e-12
4.49712e-12
4.61119e-12
4.48403e-12
4.25456e-12
4.2963e-12
4.48538e-12
4.47894e-12
4.35484e-12
4.50192e-12
4.53556e-12
4.62665e-12
4.615e-12
4.50975e-12
4.51089e-12
4.17419e-12
4.51907e-12
4.14808e-12
4.49395e-12
4.28438e-12
4.71357e-12

